sku,product_title,variant_title,base_cost_usd,type,shape,metal,engravings,artwork_min_w,artwork_min_h
SO-9901121,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace (Gold),25.50,,,,,1000,1000
SO-9901122,Interlocking Hearts Necklace - Yellow & White Gold Variants,Interlocking Hearts Necklace,20.50,,,,,1000,1000
SO-9901655,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace (Gold),16.00,,,,,1000,1000
SO-9901656,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace,11.00,,,,,1000,1000
SO-9901657,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace (Gold),24.50,,,,,1000,1000
SO-9901658,Alluring Beauty Necklace - Yellow & White Gold Variants,Alluring Beauty Necklace,19.50,,,,,1000,1000
SO-9947795,Eternal Hope Necklace,Eternal Hope Necklace (Standard Box + MC),12.00,,,,,1000,1000
SO-9947796,Eternal Hope Necklace,Eternal Hope Necklace with Luxury Box & MC,20.50,,,,,1000,1000
SO-9959290,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-9959291,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-9959292,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-9959293,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-9959558,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-9959559,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-9959560,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-9959561,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-9959667,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-9959668,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-9959669,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-9959670,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-9960984,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-9960985,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-9960986,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-9960987,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-10019291,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-10019292,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-10019293,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-10019294,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-10035163,Heart Name Necklace,Name Necklace + Heart (w/MC),13.00,,,,,1000,1000
SO-10035164,Heart Name Necklace,Gold Name Necklace + Heart (w/MC),18.00,,,,,1000,1000
SO-10035165,Heart Name Necklace,Name Necklace + Heart (w/MC),21.50,,,,,1000,1000
SO-10035166,Heart Name Necklace,Gold Name Necklace + Heart (w/MC),26.50,,,,,1000,1000
SO-10059236,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-10059237,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-10059238,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-10059239,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-10084224,Signature Name Necklace - MC,Signature Name Necklace (w/MC),13.00,,,,,1000,1000
SO-10084225,Signature Name Necklace - MC,Gold Signature Name Necklace (w/MC),18.00,,,,,1000,1000
SO-10084226,Signature Name Necklace - MC,Signature Name Necklace (w/MC),21.50,,,,,1000,1000
SO-10084227,Signature Name Necklace - MC,Gold Signature Name Necklace (w/MC),26.50,,,,,1000,1000
SO-10095363,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-10095364,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-10095365,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-10095366,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-10096319,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-10096320,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-10096321,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-10096322,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-10146067,Eternal Hope Necklace,Eternal Hope Necklace (Standard Box + MC),12.00,,,,,1000,1000
SO-10146068,Eternal Hope Necklace,Eternal Hope Necklace with Luxury Box & MC,20.50,,,,,1000,1000
SO-10163876,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-10163877,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-10163878,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-10163879,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-10182084,Forever Love Necklace,White Gold Forever Love Necklace,11.00,,,,,1000,1000
SO-10182085,Forever Love Necklace,Gold Forever Love,16.00,,,,,1000,1000
SO-10182086,Forever Love Necklace,White Gold Forever Love Necklace,19.50,,,,,1000,1000
SO-10182087,Forever Love Necklace,Gold Forever Love,24.50,,,,,1000,1000
SO-10186521,Acrylic Puzzle Plaque,Acrylic Puzzle,9.50,,,,,1000,1000
